
Predictions were generated on 29-Sep-2025 at 15:43:50 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   1.792939E-01	  -8.908879E+04	   1.214410E+06	   4.494961E+07	   4.555390E+07	  -3.501527E+06	   5.786804E+06	  -1.294095E+00	  -4.829629E+00	   0.000000E+00	   0.000000E+00	   3.316126E-02	  -1.832596E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.331177E-03	   2.399778E-02	   2.403348E-02	  -6.403985E-03	   1.712356E-03	  -2.316186E-07	  -3.877583E+05	   1.084761E+05	   6.481360E+03	  -3.345958E+06	   9.643660E+06	   5.789724E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   1.219481E+07	  -3.267590E+06	   0.000000E+00	   1.046634E+05	   3.893512E+05	  -3.532728E+05	   4.413933E+07	  -1.180966E+07	   1.127695E+03
    0.0125	   1.777470E-01	  -7.701899E+04	   1.228552E+06	   4.495002E+07	   4.572902E+07	  -3.517556E+06	   6.006239E+06	  -1.294095E+00	  -4.829628E+00	   1.874298E-06	   1.226017E-09	   3.316074E-02	  -1.832596E+00	   7.162112E-05	   2.957815E-04	   2.994401E-04	  -7.984760E-05	   2.109690E-05	  -1.913412E-08	   5.813949E-03	   2.317066E-02	   2.388595E-02	  -6.397822E-03	   1.700052E-03	  -1.509157E-06	  -3.811632E+05	   1.107098E+05	   3.430801E+03	  -3.293829E+06	   9.580299E+06	   5.992976E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   1.219462E+07	  -3.267539E+06	   0.000000E+00	   1.069717E+05	   3.941925E+05	  -3.511043E+05	   4.416528E+07	  -1.176495E+07	   7.347940E+03
    0.0250	   1.761985E-01	  -6.278382E+04	   1.245972E+06	   4.495137E+07	   4.573857E+07	  -3.447219E+06	   6.237507E+06	  -1.294093E+00	  -4.829622E+00	   7.474097E-06	   6.075032E-09	   3.315919E-02	  -1.832596E+00	   1.392893E-04	   5.707638E-04	   5.956476E-04	  -1.595182E-04	   4.223937E-05	  -4.655828E-08	   4.997144E-03	   2.184389E-02	   2.369358E-02	  -6.371233E-03	   1.676445E-03	  -3.891786E-06	  -3.745918E+05	   1.129263E+05	   3.704795E+02	  -3.241106E+06	   9.516312E+06	   6.194356E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   1.219405E+07	  -3.267388E+06	   0.000000E+00	   1.102628E+05	   4.005409E+05	  -3.482772E+05	   4.408658E+07	  -1.166425E+07	   1.894919E+04
    0.0375	   1.746478E-01	  -4.751920E+04	   1.266788E+06	   4.495392E+07	   4.558869E+07	  -3.336794E+06	   6.473734E+06	  -1.294091E+00	  -4.829613E+00	   1.676519E-05	   1.464377E-08	   3.315661E-02	  -1.832596E+00	   1.980606E-04	   8.335243E-04	   8.904906E-04	  -2.389137E-04	   6.311257E-05	  -1.083756E-07	   4.037532E-03	   2.001627E-02	   2.344590E-02	  -6.324633E-03	   1.647497E-03	  -6.789739E-06	  -3.680477E+05	   1.151236E+05	  -2.698853E+03	  -3.187819E+06	   9.451731E+06	   6.393810E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   1.219310E+07	  -3.267138E+06	   0.000000E+00	   1.140282E+05	   4.084438E+05	  -3.446380E+05	   4.390642E+07	  -1.153726E+07	   3.306041E+04
    0.0500	   1.730941E-01	  -3.264877E+04	   1.290368E+06	   4.495742E+07	   4.530359E+07	  -3.241111E+06	   6.706787E+06	  -1.294089E+00	  -4.829601E+00	   2.972125E-05	   2.928349E-08	   3.315302E-02	  -1.832596E+00	   2.455720E-04	   1.070881E-03	   1.181957E-03	  -3.176290E-04	   8.365582E-05	  -2.048084E-07	   3.127143E-03	   1.777285E-02	   2.315413E-02	  -6.261199E-03	   1.620378E-03	  -9.512799E-06	  -3.615355E+05	   1.172992E+05	  -5.776444E+03	  -3.134003E+06	   9.386584E+06	   6.591294E+06	   0.000000E+00	   0.000000E+00	   1.398910E+08	   1.219178E+07	  -3.266788E+06	   0.000000E+00	   1.176327E+05	   4.176206E+05	  -3.403517E+05	   4.364050E+07	  -1.141933E+07	   4.632170E+04
    0.0625	   1.715367E-01	  -1.957960E+04	   1.315979E+06	   4.496176E+07	   4.491501E+07	  -3.214870E+06	   6.928354E+06	  -1.294085E+00	  -4.829587E+00	   4.629667E-05	   5.098270E-08	   3.314841E-02	  -1.832596E+00	   2.828077E-04	   1.278781E-03	   1.469460E-03	  -3.954946E-04	   1.039005E-04	  -3.316724E-07	   2.456453E-03	   1.521729E-02	   2.282408E-02	  -6.184960E-03	   1.602221E-03	  -1.136175E-05	  -3.550595E+05	   1.194510E+05	  -8.861544E+03	  -3.079688E+06	   9.320901E+06	   6.786753E+06	   0.000000E+00	   0.000000E+00	   1.398910E+08	   1.219008E+07	  -3.266342E+06	   0.000000E+00	   1.204479E+05	   4.277425E+05	  -3.355035E+05	   4.330904E+07	  -1.134570E+07	   5.532981E+04
    0.0750	   1.699747E-01	  -9.464732E+03	   1.342706E+06	   4.496680E+07	   4.446206E+07	  -3.302684E+06	   7.131927E+06	  -1.294081E+00	  -4.829569E+00	   6.643895E-05	   7.961516E-08	   3.314280E-02	  -1.832596E+00	   3.137039E-04	   1.453681E-03	   1.752755E-03	  -4.723637E-04	   1.239923E-04	  -4.740380E-07	   2.181155E-03	   1.247820E-02	   2.246323E-02	  -6.100891E-03	   1.598846E-03	  -1.179281E-05	  -3.486238E+05	   1.215767E+05	  -1.195340E+04	  -3.024909E+06	   9.254715E+06	   6.980141E+06	   0.000000E+00	   0.000000E+00	   1.398909E+08	   1.218801E+07	  -3.265800E+06	   0.000000E+00	   1.219598E+05	   4.383994E+05	  -3.302036E+05	   4.293698E+07	  -1.134510E+07	   5.743818E+04
    0.0875	   1.684074E-01	  -2.981216E+03	   1.369512E+06	   4.497238E+07	   4.398883E+07	  -3.530192E+06	   7.313644E+06	  -1.294077E+00	  -4.829550E+00	   9.009390E-05	   1.124505E-07	   3.313620E-02	  -1.832596E+00	   3.431031E-04	   1.594241E-03	   2.031363E-03	  -5.481748E-04	   1.441082E-04	  -6.139890E-07	   2.391737E-03	   9.701111E-03	   2.207936E-02	  -6.014609E-03	   1.613618E-03	  -1.049606E-05	  -3.422327E+05	   1.236740E+05	  -1.505126E+04	  -2.969698E+06	   9.188052E+06	   7.171404E+06	   0.000000E+00	   0.000000E+00	   1.398908E+08	   1.218559E+07	  -3.265162E+06	   0.000000E+00	   1.218678E+05	   4.491267E+05	  -3.245662E+05	   4.255246E+07	  -1.143407E+07	   5.113862E+04
    0.1000	   1.668341E-01	  -2.500354E+02	   1.395325E+06	   4.497834E+07	   4.354060E+07	  -3.900850E+06	   7.472961E+06	  -1.294073E+00	  -4.829529E+00	   1.172009E-04	   1.444473E-07	   3.312863E-02	  -1.832596E+00	   3.772353E-04	   1.700700E-03	   2.305070E-03	  -6.229263E-04	   1.644802E-04	  -7.291954E-07	   3.102486E-03	   7.036075E-03	   2.168005E-02	  -5.931893E-03	   1.647021E-03	  -7.448760E-06	  -3.358904E+05	   1.257407E+05	  -1.815438E+04	  -2.914085E+06	   9.120942E+06	   7.360497E+06	   0.000000E+00	   0.000000E+00	   1.398907E+08	   1.218280E+07	  -3.264428E+06	   0.000000E+00	   1.201207E+05	   4.594437E+05	  -3.187027E+05	   4.218436E+07	  -1.161493E+07	   3.632057E+04
