
Predictions were generated on 27-Mar-2019 at 13:17:27 using BeamDyn




Time	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	-1.726E+02	-4.000E+06	 6.611E+03	 3.543E+07	-1.945E+03	-6.871E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.004000	-1.369E-01	-4.000E+06	 1.015E-01	 3.544E+07	-1.100E-01	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.006000	-8.505E-03	-4.000E+06	-1.962E-04	 3.544E+07	-6.808E-03	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.008000	-5.098E-04	-4.000E+06	-2.008E-06	 3.544E+07	-4.084E-04	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.010000	-3.046E-05	-4.000E+06	-1.075E-05	 3.544E+07	-2.438E-05	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.012000	-2.637E-06	-4.000E+06	-8.582E-06	 3.544E+07	-1.590E-06	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.014000	 1.788E-07	-4.000E+06	 3.187E-06	 3.544E+07	-2.211E-08	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.016000	-6.374E-07	-4.000E+06	-3.048E-06	 3.544E+07	-1.276E-07	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.018000	 6.208E-07	-4.000E+06	 2.026E-06	 3.544E+07	 3.262E-08	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
