
Predictions were generated on 28-Oct-2022 at 20:03:25 using FAST.Farm, compiled as a 64-bit application using double precision and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: Simulation with one turbine using precursor VTK

Time                	W1VAmbx             	RtVRelT1            	YawErrT1            	TIAmbT1             	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT1D1          	WkAxsXT1D2          	WkAxsYT1D1          	WkAxsYT1D2          	WkAxsZT1D1          	WkAxsZT1D2          	WkPosXT1D1          	WkPosXT1D2          	WkPosYT1D1          	WkPosYT1D2          	WkPosZT1D1          	WkPosZT1D2          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVxT1N01D2       	WkDfVxT1N02D2       	WkDfVxT1N03D2       	WkDfVxT1N04D2       	WkDfVxT1N05D2       	WkDfVxT1N06D2       	WkDfVxT1N07D2       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVrT1N01D2       	WkDfVrT1N02D2       	WkDfVrT1N03D2       	WkDfVrT1N04D2       	WkDfVrT1N05D2       	WkDfVrT1N06D2       	WkDfVrT1N07D2       
(s)                 	(m/s)        	(m/s)        	(deg)        	(percent)    	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	 8.120E+00	 8.026E+00	 2.623E-01	 9.530E+00	 4.647E-01	 7.430E-01	 8.468E-01	-2.466E-04	-1.029E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    3.0000	 7.771E+00	 8.289E+00	 1.139E+00	 9.429E+00	 4.496E-01	 7.401E-01	 8.136E-01	-2.374E-04	-9.906E-07	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    6.0000	 7.484E+00	 8.106E+00	 1.735E+00	 9.356E+00	 4.613E-01	 7.501E-01	 8.344E-01	-2.444E-04	-1.020E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    9.0000	 7.381E+00	 7.940E+00	 2.185E+00	 9.500E+00	 4.693E-01	 7.650E-01	 8.500E-01	-2.430E-04	-1.014E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   12.0000	 7.532E+00	 7.797E+00	 3.752E+00	 9.556E+00	 4.504E-01	 7.465E-01	 8.835E-01	-2.618E-04	-1.092E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   15.0000	 7.242E+00	 7.552E+00	 1.869E+00	 9.382E+00	 4.464E-01	 7.342E-01	 9.169E-01	-2.665E-04	-1.112E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   18.0000	 7.001E+00	 7.404E+00	 1.938E+00	 9.501E+00	 4.649E-01	 7.688E-01	 9.024E-01	-2.549E-04	-1.064E-06	 9.962E-01	 0.000E+00	 0.000E+00	 0.000E+00	-8.716E-02	 0.000E+00	 1.122E+03	 0.000E+00	 1.003E+03	 0.000E+00	 9.260E+01	 0.000E+00	-2.115E+00	-2.642E+00	-3.550E+00	-3.443E+00	-3.254E-01	-1.988E-03	-6.614E-17	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.403E-02	 2.460E-02	-9.466E-02	-1.597E-01	-1.167E-01	-6.271E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   21.0000	 6.983E+00	 7.431E+00	 2.012E+00	 9.350E+00	 4.513E-01	 7.486E-01	 8.970E-01	-2.563E-04	-1.069E-06	 9.962E-01	 0.000E+00	 0.000E+00	 0.000E+00	-8.716E-02	 0.000E+00	 1.122E+03	 0.000E+00	 1.003E+03	 0.000E+00	 9.444E+01	 0.000E+00	-2.208E+00	-2.682E+00	-3.546E+00	-3.368E+00	-3.417E-01	-2.785E-03	-7.099E-17	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.138E-02	 2.474E-02	-9.261E-02	-1.454E-01	-1.049E-01	-5.631E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   24.0000	 7.012E+00	 7.320E+00	 5.704E-01	 9.251E+00	 4.513E-01	 7.415E-01	 9.428E-01	-2.761E-04	-1.152E-06	 9.962E-01	 0.000E+00	 0.000E+00	 0.000E+00	-8.716E-02	 0.000E+00	 1.122E+03	 0.000E+00	 1.004E+03	 0.000E+00	 9.638E+01	 0.000E+00	-2.285E+00	-2.716E+00	-3.543E+00	-3.307E+00	-3.562E-01	-3.504E-03	-6.991E-17	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.928E-02	 2.474E-02	-9.065E-02	-1.343E-01	-9.574E-02	-5.135E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
